Date,Open,High,Low,Close,Adj Close,Volume
2016-02-10,0.953412,1.240610,0.718432,0.973130,0.973130,127149
2016-02-11,0.990628,1.276050,0.861889,1.207060,1.207060,44528
2016-02-12,1.218370,1.530860,1.154430,1.311910,1.311910,41598
2016-02-13,1.313200,1.379060,1.029140,1.126410,1.126410,37094
2016-02-14,1.129500,1.207370,1.076290,1.176480,1.176480,15138
2016-02-15,1.177460,1.449000,1.128500,1.357120,1.357120,45922
2016-02-16,1.361340,1.656380,1.279950,1.497270,1.497270,59302
2016-02-17,1.475290,1.713670,1.475240,1.570540,1.570540,41294
2016-02-18,1.575740,1.583800,1.248480,1.424010,1.424010,31430
2016-02-19,1.425250,1.539140,1.356200,1.445030,1.445030,17999
2016-02-20,1.447840,1.631040,1.446620,1.551930,1.551930,23921
2016-02-21,1.548690,1.681630,1.496370,1.641620,1.641620,27627
2016-02-22,1.661670,1.923160,1.584670,1.736300,1.736300,61298
2016-02-23,1.738360,2.233900,1.711170,1.906320,1.906320,90550
2016-02-24,1.907300,2.894070,1.900070,2.670780,2.670780,133621
2016-02-25,2.674340,2.834110,2.064970,2.392340,2.392340,138725
2016-02-26,2.428100,2.653080,2.133370,2.427680,2.427680,48829
2016-02-27,2.431410,2.431410,1.929470,2.166230,2.166230,46765
2016-02-28,2.166500,2.313590,2.074710,2.237010,2.237010,29046
2016-02-29,2.236670,2.292650,1.974200,2.061480,2.061480,39207
2016-03-01,2.062520,2.106340,1.337460,1.723380,1.723380,69219
2016-03-02,1.697970,1.872920,1.568670,1.696480,1.696480,40583
2016-03-03,1.696160,1.920670,1.650300,1.738800,1.738800,37620
2016-03-04,1.724090,1.857550,1.710550,1.737060,1.737060,17232
2016-03-05,1.737080,1.775050,1.634250,1.693950,1.693950,27322
2016-03-06,1.710010,2.050390,1.671860,2.032240,2.032240,37125
2016-03-07,2.044010,2.192090,1.969990,2.163310,2.163310,34233
2016-03-08,2.167640,2.344540,2.167640,2.326630,2.326630,29222
2016-03-09,2.307970,2.602380,2.248810,2.480520,2.480520,82286
2016-03-10,2.479810,2.600840,2.317220,2.321000,2.321000,35049
2016-03-11,2.321610,2.582500,2.108370,2.396790,2.396790,51700
2016-03-12,2.294800,2.566880,2.255290,2.283680,2.283680,51006
2016-03-13,2.283810,2.390810,2.207390,2.383410,2.383410,22474
2016-03-14,2.384190,2.536030,2.344880,2.423970,2.423970,48534
2016-03-15,2.425610,2.640460,2.367710,2.587540,2.587540,41795
2016-03-16,2.420580,2.666320,2.420580,2.617890,2.617890,38185
2016-03-17,2.626680,2.629490,2.434730,2.491240,2.491240,23704
2016-03-18,2.508230,2.564880,2.330200,2.427620,2.427620,20666
2016-03-19,2.431960,2.448590,2.268110,2.305450,2.305450,21944
2016-03-20,2.305210,2.364770,2.159170,2.184570,2.184570,20628
2016-03-21,2.180680,2.272740,2.102000,2.193290,2.193290,14562
2016-03-22,2.192370,2.283240,2.075810,2.132200,2.132200,19899
2016-03-23,2.132560,2.139430,1.987600,2.040490,2.040490,15242
2016-03-24,2.042360,2.051070,1.872030,1.919520,1.919520,17729
2016-03-25,1.920050,2.192950,1.876360,2.049160,2.049160,14749
2016-03-26,2.050950,2.339530,2.037870,2.307970,2.307970,25083
2016-03-27,2.308980,2.363570,1.955360,2.074100,2.074100,25734
2016-03-28,2.073330,2.170480,1.962290,2.057090,2.057090,17491
2016-03-29,2.057440,2.328470,2.020240,2.059490,2.059490,17296
2016-03-30,2.079390,2.165420,1.969470,2.159650,2.159650,10260
2016-03-31,2.161940,2.162840,1.954040,1.970970,1.970970,18321
2016-04-01,1.971120,2.080680,1.929970,1.930610,1.930610,10215
2016-04-02,1.934560,2.019240,1.901550,1.957680,1.957680,11825
2016-04-03,1.959120,1.981950,1.896570,1.938680,1.938680,11889
2016-04-04,1.957300,1.987870,1.875820,1.914500,1.914500,14313
2016-04-05,1.882930,1.902760,1.738720,1.752010,1.752010,25091
2016-04-06,1.749140,1.843820,1.697600,1.748120,1.748120,14643
2016-04-07,1.749010,1.889480,1.726550,1.743300,1.743300,13286
2016-04-08,1.743970,1.834160,1.711480,1.754400,1.754400,12918
2016-04-09,1.762360,1.788860,1.597670,1.609410,1.609410,18126
