day,circulation_coins,staked_coins
0,168720623595120,0
1,169504574718296,174523676880
2,169856151684400,1029626086956
3,170493794380688,1933000000000
4,171303949998232,3246108894878
5,171928490447336,4057898601398
6,172448212918968,4194178151260
7,172994139884968,4424988000000
8,173852337075520,4698380152671
9,174472510108896,4918223943661
10,175062111232176,5114351851851
11,175656079771184,5246130882352
12,176306824714656,5364483892617
13,177001243815325,5978156270096
14,177671330170376,6404780425531
15,178494276075692,6696084246575
16,179521242686935,7321534670487
17,180367897420525,8032673684097
18,181144673502554,8454501089471
19,181933303998706,8932824189205
20,182885400626163,9409465844575
21,183722020187699,9722389393608
22,184601062984750,10272611408739
23,185378178823606,10783734702763
24,186339998665499,11558304129567
25,187123909634908,12067748144534
26,188020249127903,12575666345685
27,188877671055039,13208593870281
28,189737563938735,13665086240016
29,190604869692121,14740796840743
30,191413490227146,16618205385795
31,192419787287149,19294638018483
32,193188254778039,20025483422003
33,194028380009237,20991709047044
34,194835147326839,21484101368390
35,195727162645841,21845592789853
36,196696395357426,22675889599741
37,197429651717307,23316953101433
38,198347612080229,23541958780840
39,199322404444079,24408246293439
40,200140291066221,24844330210833
41,201002037167350,25930286730058
42,201805523127971,26847680777933
43,202688094989062,27606082466014
44,203607364224841,28728077803335
45,204376174224442,29234208886289
46,205278318018719,30566991551974
47,206181685058814,30670661578575
48,207103400786255,32379831165866
49,207918694127126,33082103651308
50,208740715319996,33628165291234
51,209683226226407,34758392451141
52,210504635796368,34989831372792
53,211400051738612,36170272088768
54,212285681714276,36058709974960
55,213145011904751,36953277339329
56,213959081999706,36823652855771
57,214797005388290,37959938421954
58,215581717583575,38450969149360
59,216604962714294,38800331530520
60,217428818775923,39523577955319
61,218210472856653,39166306535277
62,219083258751188,39723739629915
63,219924509731525,39533950881755
64,220834677290827,41253339640403
65,221663698840178,40895114610033
66,222605355895878,41376839688942
67,223413788159127,42327782024891
68,224263398994589,42431175304507
69,225086364871562,44417769823333
70,225880869088311,44704467347305
71,226843720997334,44901235140404
72,227680614920780,46940520518424
73,228476935839246,45902464048876
74,229401637012257,46098535780750
75,230325127050802,46541223159584
76,231181399125881,46192134010647
77,232000731599423,47265409002396
78,232895154410520,47005988001948
79,233767776801031,48258465579051
80,234570758959138,49495119780870
81,235507571476926,48708549244663
82,236345676534850,49425936172758
83,237200131908218,50933889687695
84,238013579587367,51407002838161
85,238802615712663,52398319544259
86,239701972998327,53668193323404
87,240517989842190,55420689684503
88,241290837536341,55495099368942
89,242266939977035,56489478392159
90,243094348679837,56429713077474
91,243881586090556,57757666002277
92,244610065491889,57038585021266
93,245382913185990,58536244852744
94,246345825053130,57808810990992
95,247095289457828,58871711323327
96,248008436888541,58821773989302
97,248889207456960,61353394890610
98,249661455579590,60626093272628
99,250530234717545,61535658433522
100,251394816854821,61800683993893
101,252242610989441,62917576691004
102,253020854827287,62711257020833
103,253895629680460,62568848650920
104,254750019101803,64275508505000
105,255539055227071,64288738219171
106,256377633175021,64669989325274
107,257162418871819,65461004714032
108,257992320841636,65578570477272
109,258867932719669,66694320956123
110,259673495647393,66417822649577
111,260387045123586,67625536996316
112,261178954442439,67264027106937
113,262150141583095,69320199674316
114,262911775508203,68344490638898
115,263649664026458,69905397816071
116,264635692046408,71176534014205
117,265489339423135,70708997021813
118,266173800775958,71403015063626
119,267048819018866,73112274767946
120,267922056356253,73020978842569
121,268735336541304,73519625115021
122,269488659574008,73975267874833
123,270383861412726,74407732790986
124,271217325193603,75889641946445
125,272064442583426,76623953228764
126,272881878214688,76361801487160
127,273716978900293,80288432970432
128,274389961347011,79059591519954
129,275146993129864,79512485016228
130,276175568921796,80954171934957
131,277013711252813,80604961346096
132,277817763643301,81115538330811
133,278601244517953,83293312862817
134,279447615455305,82540108317394
135,280244026997054,84573582428626
136,281147410421167,84630239307710
137,281877405354634,85177227022452
138,282692037381817,85277382975406
139,283504318378565,86025023314668
140,284313072829809,87551195310895
141,285118888493073,87594065102358
142,286029325008329,88232664708105
143,286757556669011,88798953285371
144,287547502877195,89979185739302
145,288464404725998,90567897720847
146,289281975541185,91218644941023
147,290132460781715,91687706954378
148,290950604806203,91891718356780
149,291771719625854,92337018280184
150,292627168800116,93362929376695
151,293373213590172,93499415012163
152,294180943830868,93671113696593
153,295065489915804,94690893189929
154,295843541307607,94747316434344
155,296631485649059,94949714521920
156,297285002263126,94929432357718
157,298200391073359,95455071521119
158,299003465808353,95449819439623
159,299841456836173,95379936213715
160,300641039941873,95622331057320
161,301417927457262,96106718320756
162,302243115844408,95941331351161
163,303096237265812,96744078630928
164,303853920820128,95427613042836
165,304658741369775,95874711893188
166,305539795825439,96403377535728
167,306365566150792,96639044501090
168,307053417119472,96847303833599
169,307797134156690,97625544004367
170,308568796903212,97236184187718
171,309325892756262,98304705664013
172,310002323906557,97039682024363
173,310865436226205,97829409088720
174,311638088843495,97857049707024
175,312425145872001,98579216209548
176,313242164075810,98892444161401
177,314049387279992,100726020483379
178,314844510778757,99809555469130
179,315645396042021,100016804509143
180,316495256303396,101709526098301
181,317284041861240,100365228257277
182,318098755359262,101004789635143
183,318929025621380,100707212882771
184,319781766764994,101081089980183
185,320519272618925,101085766046965
186,321328224352466,101490762169848
187,322231092847086,101587577594323
188,323091900460965,103250094459979
189,323784464551919,103474099803936
190,324730546280169,104852697639822
191,325453947220741,104050694361759
192,326309654817781,104341352414485
193,327127711280573,104664728312371
194,327850498964224,105178463678490
195,328748421469390,106024466893789
196,329442685566453,105843647410800
197,330164332306616,107943229082208
198,331090778398344,106478239222651
199,331914539578448,108655779488114
200,332583702919331,107109578689585
201,333550082032275,108027167115228
202,334326494058682,107037344156329
203,335033308533853,108801018087983
204,335821129994878,108248350580061
205,336723616273924,108474136544269
206,337539961321521,108124445283757
207,338250769098805,108237033621058
208,339094496789510,108527772090709
209,340007822031417,108894245438113
210,340695810939385,110173656393952
211,341372390412753,109962893700923
212,342254432905343,111223598402662
213,342974582863720,110642018719157
214,343856272342208,112395445532015
215,344584894653053,113801504470726
216,345502168011802,111632234490406
217,346182215501910,111050139115608
218,347011376395181,111209639702549
219,347752424822958,111203329739224
220,348536964659994,111463668272747
221,349334495437457,111633341043877
222,350219573856917,111927247374337
223,351017104634362,113216437737170
224,351793736942425,113177366194679
225,352490729137455,114419753679170
226,353343612617582,113752338195025
227,354173903157831,116054575918995
228,354966350523813,114478394414448
229,355729427067968,117687402760784
230,356538819138857,116053381316232
231,357354424268217,116743418940993
232,358143482693228,117711706187597
233,358925763236259,116628457650255
234,359742237969517,117263734499721
235,360555360111620,116807304440504
236,361308644516991,118068307110235
237,362089890481587,117291836820886
238,362855477973020,118005877671071
239,363632250088144,120667190081714
240,364429154525905,119429323199611
241,365287574393933,119765835811849
242,365975987981915,119486820040638
243,366889212506024,121679242911809
244,367597199185465,119597104386725
245,368423183644814,119900889376909
246,369187093442694,118089251612323
247,370049987160211,121035880623450
248,370756855377282,120209304810210
249,371571655212945,123186409488312
250,372343953478583,121821927990238
251,373162108701341,121803730123237
252,373953420827248,122766050832631
253,374760950657475,121492688779934
254,375504168901503,121492558641040
255,376198083441576,121449898655143
256,377072920343273,122067431094804
257,377803796742159,125442883175479
258,378559035687678,123533981947377
259,379350264758904,124710226809412
260,380156443574648,123869092026154
261,381011901177895,124357323130819
262,381722844584086,124466498299453
263,382478637223849,126048821308150
264,383275956931722,125231094375788
265,384028981100272,127716218723884
266,384806921509689,125685135644760
267,385552193958839,127843471584901
268,386333456533698,126961999647460
269,387062118155623,127406045784163
270,387870511748331,128345503626489
271,388758083617596,127877263635730
272,389498372818601,128782976812424
273,390198796034206,129399374652340
274,391049270389273,131395767569228
275,391797865003885,130766753332572
276,392559748280294,131447870872250
277,393362629600396,131483877169697
278,394224967266081,130654642842856
279,394869664719893,133476862406980
280,395708155158334,132639860983796
281,396437825490839,132776329268245
282,397185586823325,134818989706854
283,397999133610277,133205991545241
284,398783076942719,134406428230595
285,399543995366093,133016518326632
286,400389886668160,134988277489088
287,401015670803814,133626234653112
288,401776589227194,138321189622751
289,402572593226292,135542280032965
290,403366678482969,135955344572122
291,404034510488260,136629489049447
292,404728547032856,136221939402531
293,405518520698617,136944616817127
294,406243257122037,135278296761310
295,407050773575670,134516497293437
296,407859386453533,133267283159308
297,408569979004238,133906874321886
298,409327410038624,134124545235114
299,410163840610706,139201608968414
300,410865660681893,136158179422981
301,411565309615973,139357416204394
302,412376772111271,136881496020796
303,413145626040764,137911167591776
304,413874585325841,138786359541855
305,414639639765392,140521830732403
306,415397366617189,139135696059696
307,416186574957102,140596312235913
308,416949186867406,138060699251690
309,417655349212819,139648483676212
310,418441300847068,137406528951109
311,419242450441096,140272801920652
312,420035458270952,138556468767139
313,420667801954584,142379768482187
314,421428242727776,138422876571947
315,422254903182859,138635094487823
316,423050082149829,137103133397194
317,423799124453189,141404701506249
318,424514514131321,138703073514689
319,425284770701254,140192507374792
320,426051117611357,141431509626286
321,426812627829882,141738690837546
322,427505886956133,145940438888173
323,428243751126932,142779503774602
324,429047179339140,145063256242726
325,429782356459065,142475190631591
326,430582022800041,146221300733718
327,431341920788047,143773550441852
328,432099131725170,147348596519070
329,432849356330020,144752907482314
330,433604955036621,146016414296501
331,434409458069184,143408787169139
332,435170968287718,146416431056184
333,435930866275715,143887775830972
334,436626812452831,149653809149103
335,437400145695219,146711546718451
336,438121350150595,148027314147152
337,438933376925607,148190283494264
338,439735730317460,147774428608311
339,440377398066872,148815042037181
340,441137296054872,150040025821239
341,441990573052220,150692981783940
342,442758909977137,150680572818037
343,443412847706182,149859420883159
344,444214706255948,149869943399291
345,444992088698689,150800942132526
346,445704024159595,151425520223644
347,446468636459540,151819765522102
348,447240165920167,152421312723928
349,448005842398675,152061753040049
350,448665633109835,151498790385403
351,449499949105874,152600326699673
352,450229443513120,153831091354297
353,450975964777431,152830882290226
354,451754943488012,153162966284924
355,452492419234505,151429238837618
356,453312900909172,150655652974593
357,454064210977038,153539223470538
358,454832015812680,153504174606233
359,455587582594803,152486548728406
360,456355919519726,153040228948087
361,457196620587166,151678856175348
362,458052091082608,152122267957992
363,458720100201636,149669821347129
364,459333319929199,152293382153773
365,460121971073675,150835795762126
366,460974367567835,152753388953892
367,461656074034718,151961023969354
368,462436822863108,153403254201864
369,463202820701494,151763632539227
370,463987784098467,152408944909007
371,464766425642575,150356326396944
372,465441283435535,153290116073218
373,466165662409245,151536342979536
374,466987503281242,157711391414906
375,467747179266757,157471414698052
376,468500006578352,161319732445524
377,469189088540253,161027664011108
378,469971417831854,162539628677372
379,470818019294218,164194276878319
380,471428604916422,165448047674250
381,472165100774781,166571193065144
382,473018024089986,168954979047900
383,473665562819931,169769730652412
384,474424498126314,171432170849784
385,475219424179177,173626726266482
386,475833353289567,174167275243425
387,476588115755806,174539597730981
388,477328273281442,176085686959202
389,478043393766043,177310915793509
390,478883177850798,179671629554123
391,479638983527090,181667356702858
392,480258128687636,184487557999409
393,481011847943830,183963067941452
394,481852153633607,185968988545811
395,482486425339857,187306269226689
396,483273005712424,188628362623409
397,484042894724295,189297900920956
398,484843558432422,190797984798774
399,485533641875996,191683079199942
400,486259716066054,192148260911827
401,487033777918083,192686829108504
402,487868345952628,194659749168259
403,488567296681560,195147409081936
404,489270613915869,197673747544777
405,489968325186997,197220403477926
406,490832846776825,198907365791947
407,491584267871933,201634102533406
408,492246861181221,201423705624581
409,492976075329873,203007484930884
410,493817357092025,202530615007110
411,494501640907157,205552974766265
412,495447243673585,205520309035113
413,496096409526889,204243572300432
414,496778111138945,207765578397492
