day,circulation_coins
0,168720623595120
1,169504574718296
2,169856151684400
3,170493794380688
4,171303949998232
5,171928490447336
6,172448212918968
7,172994139884968
8,173852337075520
9,174472510108896
10,175062111232176
11,175656079771184
12,176306824714656
13,177001243815325
14,177671330170376
15,178494276075692
16,179521242686935
17,180367897420525
18,181144673502554
19,181933303998706
20,182885400626163
21,183722020187699
22,184601062984750
23,185378178823606
24,186339998665499
25,187123909634908
26,188020249127903
27,188877671055039
28,189737563938735
29,190604869692121
30,191413490227146
31,192419787287149
32,193188254778039
33,194028380009237
34,194835147326839
35,195727162645841
36,196696395357426
37,197429651717307
38,198347612080229
39,199322404444079
40,200140291066221
41,201002037167350
42,201805523127971
43,202688094989062
44,203607364224841
45,204376174224442
46,205278318018719
47,206181685058814
48,207103400786255
49,207918694127126
50,208740715319996
51,209683226226407
52,210504635796368
53,211400051738612
54,212285681714276
55,213145011904751
56,213959081999706
57,214797005388290
58,215581717583575
59,216604962714294
60,217428818775923
61,218210472856653
62,219083258751188
63,219924509731525
64,220834677290827
65,221663698840178
66,222605355895878
67,223413788159127
68,224263398994589
69,225086364871562
70,225880869088311
71,226843720997334
72,227680614920780
73,228476935839246
74,229401637012257
75,230325127050802
76,231181399125881
77,232000731599423
78,232895154410520
79,233767776801031
80,234570758959138
81,235507571476926
82,236345676534850
83,237200131908218
84,238013579587367
85,238802615712663
86,239701972998327
87,240517989842190
88,241290837536341
89,242266939977035
90,243094348679837
91,243881586090556
92,244610065491889
93,245382913185990
94,246345825053130
95,247095289457828
96,248008436888541
97,248889207456960
98,249661455579590
99,250530234717545
100,251394816854821
101,252242610989441
102,253020854827287
103,253895629680460
104,254750019101803
105,255539055227071
106,256377633175021
107,257162418871819
108,257992320841636
109,258867932719669
110,259673495647393
111,260387045123586
112,261178954442439
113,262150141583095
114,262911775508203
115,263649664026458
116,264635692046408
117,265489339423135
118,266173800775958
119,267048819018866
120,267922056356253
121,268735336541304
122,269488659574008
123,270383861412726
124,271217325193603
125,272064442583426
126,272881878214688
127,273716978900293
128,274389961347011
129,275146993129864
130,276175568921796
131,277013711252813
132,277817763643301
133,278601244517953
134,279447615455305
135,280244026997054
136,281147410421167
137,281877405354634
138,282692037381817
139,283504318378565
140,284313072829809
141,285118888493073
142,286029325008329
143,286757556669011
144,287547502877195
145,288464404725998
146,289281975541185
147,290132460781715
148,290950604806203
149,291771719625854
150,292627168800116
151,293373213590172
152,294180943830868
153,295065489915804
154,295843541307607
155,296631485649059
156,297285002263126
157,298200391073359
158,299003465808353
159,299841456836173
160,300641039941873
161,301417927457262
162,302243115844408
163,303096237265812
164,303853920820128
165,304658741369775
166,305539795825439
167,306365566150792
168,307053417119472
169,307797134156690
170,308568796903212
171,309325892756262
172,310002323906557
173,310865436226205
174,311638088843495
175,312425145872001
176,313242164075810
177,314049387279992
178,314844510778757
179,315645396042021
180,316495256303396
181,317284041861240
182,318098755359262
183,318929025621380
184,319781766764994
185,320519272618925
186,321328224352466
187,322231092847086
188,323091900460965
189,323784464551919
190,324730546280169
191,325453947220741
192,326309654817781
193,327127711280573
194,327850498964224
195,328748421469390
196,329442685566453
197,330164332306616
198,331090778398344
199,331914539578448
200,332583702919331
201,333550082032275
202,334326494058682
203,335033308533853
204,335821129994878
205,336723616273924
206,337539961321521
207,338250769098805
208,339094496789510
209,340007822031417
210,340695810939385
211,341372390412753
212,342254432905343
