day,staked_coins
0,0
1,174523676880
2,1029626086956
3,1933000000000
4,3246108894878
5,4057898601398
6,4194178151260
7,4424988000000
8,4698380152671
9,4918223943661
10,5114351851851
11,5246130882352
12,5364483892617
13,5978156270096
14,6404780425531
15,6696084246575
16,7321534670487
17,8032673684097
18,8454501089471
19,8932824189205
20,9409465844575
21,9722389393608
22,10272611408739
23,10783734702763
24,11558304129567
25,12067748144534
26,12575666345685
27,13208593870281
28,13665086240016
29,14740796840743
30,16618205385795
31,19294638018483
32,20025483422003
33,20991709047044
34,21484101368390
35,21845592789853
36,22675889599741
37,23316953101433
38,23541958780840
39,24408246293439
40,24844330210833
41,25930286730058
42,26847680777933
43,27606082466014
44,28728077803335
45,29234208886289
46,30566991551974
47,30670661578575
48,32379831165866
49,33082103651308
50,33628165291234
51,34758392451141
52,34989831372792
53,36170272088768
54,36058709974960
55,36953277339329
56,36823652855771
57,37959938421954
58,38450969149360
59,38800331530520
60,39523577955319
61,39166306535277
62,39723739629915
63,39533950881755
64,41253339640403
65,40895114610033
66,41376839688942
67,42327782024891
68,42431175304507
69,44417769823333
70,44704467347305
71,44901235140404
72,46940520518424
73,45902464048876
74,46098535780750
75,46541223159584
76,46192134010647
77,47265409002396
78,47005988001948
79,48258465579051
80,49495119780870
81,48708549244663
82,49425936172758
83,50933889687695
84,51407002838161
85,52398319544259
86,53668193323404
87,55420689684503
88,55495099368942
89,56489478392159
90,56429713077474
91,57757666002277
92,57038585021266
93,58536244852744
94,57808810990992
95,58871711323327
96,58821773989302
97,61353394890610
98,60626093272628
99,61535658433522
100,61800683993893
101,62917576691004
102,62711257020833
103,62568848650920
104,64275508505000
105,64288738219171
106,64669989325274
107,65461004714032
108,65578570477272
109,66694320956123
110,66417822649577
111,67625536996316
112,67264027106937
113,69320199674316
114,68344490638898
115,69905397816071
116,71176534014205
117,70708997021813
118,71403015063626
119,73112274767946
120,73020978842569
121,73519625115021
122,73975267874833
123,74407732790986
124,75889641946445
125,76623953228764
126,76361801487160
127,80288432970432
128,79059591519954
129,79512485016228
130,80954171934957
131,80604961346096
132,81115538330811
133,83293312862817
134,82540108317394
135,84573582428626
136,84630239307710
137,85177227022452
138,85277382975406
139,86025023314668
140,87551195310895
141,87594065102358
142,88232664708105
143,88798953285371
144,89979185739302
145,90567897720847
146,91218644941023
147,91687706954378
148,91891718356780
149,92337018280184
150,93362929376695
151,93499415012163
152,93671113696593
153,94690893189929
154,94747316434344
155,94949714521920
156,94929432357718
157,95455071521119
158,95449819439623
159,95379936213715
160,95622331057320
161,96106718320756
162,95941331351161
163,96744078630928
164,95427613042836
165,95874711893188
166,96403377535728
167,96639044501090
168,96847303833599
169,97625544004367
170,97236184187718
171,98304705664013
172,97039682024363
173,97829409088720
174,97857049707024
175,98579216209548
176,98892444161401
177,100726020483379
178,99809555469130
179,100016804509143
180,101709526098301
181,100365228257277
182,101004789635143
183,100707212882771
184,101081089980183
185,101085766046965
186,101490762169848
187,101587577594323
188,103250094459979
189,103474099803936
190,104852697639822
191,104050694361759
192,104341352414485
193,104664728312371
194,105178463678490
195,106024466893789
196,105843647410800
197,107943229082208
198,106478239222651
199,108655779488114
200,107109578689585
201,108027167115228
202,107037344156329
203,108801018087983
204,108248350580061
205,108474136544269
206,108124445283757
207,108237033621058
208,108527772090709
209,108894245438113
210,110173656393952
211,109962893700923
212,111223598402662
213,110642018719157
214,112395445532015
215,113801504470726
216,111632234490406
217,111050139115608
218,111209639702549
219,111203329739224
220,111463668272747
221,111633341043877
222,111927247374337
223,113216437737170
224,113177366194679
225,114419753679170
226,113752338195025
227,116054575918995
228,114478394414448
229,117687402760784
230,116053381316232
231,116743418940993
232,117711706187597
233,116628457650255
234,117263734499721
235,116807304440504
236,118068307110235
237,117291836820886
238,118005877671071
239,120667190081714
240,119429323199611
241,119765835811849
242,119486820040638
243,121679242911809
244,119597104386725
245,119900889376909
246,118089251612323
247,121035880623450
248,120209304810210
249,123186409488312
250,121821927990238
251,121803730123237
252,122766050832631
253,121492688779934
254,121492558641040
255,121449898655143
256,122067431094804
257,125442883175479
258,123533981947377
259,124710226809412
260,123869092026154
261,124357323130819
262,124466498299453
263,126048821308150
264,125231094375788
265,127716218723884
266,125685135644760
267,127843471584901
268,126961999647460
269,127406045784163
270,128345503626489
271,127877263635730
272,128782976812424
273,129399374652340
274,131395767569228
275,130766753332572
276,131447870872250
277,131483877169697
278,130654642842856
279,133476862406980
280,132639860983796
281,132776329268245
282,134818989706854
283,133205991545241
284,134406428230595
285,133016518326632
286,134988277489088
287,133626234653112
288,138321189622751
289,135542280032965
290,135955344572122
291,136629489049447
292,136221939402531
293,136944616817127
294,135278296761310
295,134516497293437
296,133267283159308
297,133906874321886
298,134124545235114
299,139201608968414
300,136158179422981
301,139357416204394
302,136881496020796
303,137911167591776
304,138786359541855
305,140521830732403
306,139135696059696
307,140596312235913
308,138060699251690
309,139648483676212
310,137406528951109
311,140272801920652
312,138556468767139
313,142379768482187
314,138422876571947
315,138635094487823
316,137103133397194
317,141404701506249
318,138703073514689
319,140192507374792
320,141431509626286
321,141738690837546
322,145940438888173
323,142779503774602
324,145063256242726
325,142475190631591
326,146221300733718
327,143773550441852
328,147348596519070
329,144752907482314
330,146016414296501
331,143408787169139
332,146416431056184
333,143887775830972
334,149653809149103
335,146711546718451
336,148027314147152
337,148190283494264
338,147774428608311
339,148815042037181
340,150040025821239
341,150692981783940
342,150680572818037
343,149859420883159
344,149869943399291
345,150800942132526
346,151425520223644
347,151819765522102
348,152421312723928
349,152061753040049
350,151498790385403
351,152600326699673
352,153831091354297
353,152830882290226
354,153162966284924
355,151429238837618
356,150655652974593
357,153539223470538
358,153504174606233
359,152486548728406
360,153040228948087
361,151678856175348
362,152122267957992
363,149669821347129
364,152293382153773
365,150835795762126
366,152753388953892
367,151961023969354
368,153403254201864
369,151763632539227
370,152408944909007
371,150356326396944
372,153290116073218
373,151536342979536
374,157711391414906
375,157471414698052
376,161319732445524
377,161027664011108
378,162539628677372
379,164194276878319
380,165448047674250
381,166571193065144
382,168954979047900
383,169769730652412
384,171432170849784
385,173626726266482
386,174167275243425
387,174539597730981
388,176085686959202
389,177310915793509
390,179671629554123
391,181667356702858
392,184487557999409
393,183963067941452
394,185968988545811
395,187306269226689
396,188628362623409
397,189297900920956
398,190797984798774
399,191683079199942
400,192148260911827
401,192686829108504
402,194659749168259
403,195147409081936
404,197673747544777
405,197220403477926
406,198907365791947
407,201634102533406
408,201423705624581
409,203007484930884
410,202530615007110
411,205552974766265
412,205520309035113
413,204243572300432
414,207765578397492
415,204550310115472
416,205521618249190
417,205354079439287
418,202949589286901
419,201760087075305
420,201025166151499
421,201162688817134
422,204638898817119
423,200604986797501
424,207881575944239
425,202692094987175
426,204725830936088
427,200212620613852
428,202683205524290
429,198236558064508
430,200308797844903
431,195473059335832
432,198169420527100
433,194587395523403
434,199924638618113
435,195267316486888
436,198988763095631
437,195773800211646
438,199695591511379
439,196820867465875
440,203080068531095
441,198450744401445
442,200638218680113
443,197002381739741
444,201558761363523
445,196810135632069
446,199920720007665
447,195146529072852
448,197890765288289
449,193524555455843
450,197217453938655
451,193660651170392
452,201927073938281
453,197448780823330
454,203727125889676
455,199102914430577
456,204799745481979
457,199849345112381
458,204495698766969
459,199876806656028
460,203719001158503
461,198747825973084
462,202425733116910
463,199047098391217
464,207881350710061
465,203517784988461
466,203914067337074
467,205609977239543
468,205262767170755
469,204451934749945
470,204142576376291
471,204353172217886
472,202677106517406
473,202706860420256
474,202356358523317
475,201643787689280
476,201157198639278
