day,block_count
2016-02-08,332
2016-02-09,359
2016-02-10,161
2016-02-11,292
2016-02-12,371
2016-02-13,286
2016-02-14,238
2016-02-15,250
2016-02-16,395
2016-02-17,282
2016-02-18,270
2016-02-19,272
2016-02-20,298
2016-02-21,311
2016-02-22,236
2016-02-23,291
2016-02-24,349
2016-02-25,283
2016-02-26,261
2016-02-27,261
2016-02-28,319
2016-02-29,283
2016-03-01,296
2016-03-02,261
2016-03-03,322
2016-03-04,260
2016-03-05,298
2016-03-06,286
2016-03-07,288
2016-03-08,289
2016-03-09,272
2016-03-10,343
2016-03-11,257
2016-03-12,281
2016-03-13,272
2016-03-14,301
2016-03-15,322
2016-03-16,243
2016-03-17,302
2016-03-18,324
2016-03-19,271
2016-03-20,283
2016-03-21,267
2016-03-22,297
2016-03-23,308
2016-03-24,256
2016-03-25,300
2016-03-26,302
2016-03-27,307
2016-03-28,270
2016-03-29,276
2016-03-30,317
2016-03-31,276
2016-04-01,300
2016-04-02,296
2016-04-03,287
2016-04-04,284
2016-04-05,279
2016-04-06,263
2016-04-07,342
2016-04-08,273
2016-04-09,262
2016-04-10,290
2016-04-11,283
2016-04-12,305
2016-04-13,280
2016-04-14,315
2016-04-15,272
2016-04-16,285
2016-04-17,276
2016-04-18,273
2016-04-19,329
2016-04-20,284
2016-04-21,273
2016-04-22,314
2016-04-23,310
2016-04-24,289
2016-04-25,275
2016-04-26,302
2016-04-27,296
2016-04-28,269
2016-04-29,315
2016-04-30,284
2016-05-01,287
2016-05-02,294
2016-05-03,268
2016-05-04,308
2016-05-05,280
2016-05-06,264
2016-05-07,337
2016-05-08,285
2016-05-09,269
2016-05-10,265
2016-05-11,274
2016-05-12,339
2016-05-13,260
2016-05-14,311
2016-05-15,302
2016-05-16,263
2016-05-17,297
2016-05-18,297
2016-05-19,289
2016-05-20,270
2016-05-21,302
2016-05-22,300
2016-05-23,274
2016-05-24,292
2016-05-25,274
2016-05-26,293
2016-05-27,310
2016-05-28,299
2016-05-29,253
2016-05-30,277
2016-05-31,342
2016-06-01,265
2016-06-02,258
2016-06-03,345
2016-06-04,293
2016-06-05,236
2016-06-06,300
2016-06-07,300
2016-06-08,281
2016-06-09,263
2016-06-10,312
2016-06-11,289
2016-06-12,294
2016-06-13,281
2016-06-14,289
2016-06-15,234
2016-06-16,265
2016-06-17,356
2016-06-18,293
2016-06-19,280
2016-06-20,272
2016-06-21,296
2016-06-22,277
2016-06-23,313
2016-06-24,255
2016-06-25,291
2016-06-26,308
2016-06-27,284
2016-06-28,284
2016-06-29,316
2016-06-30,254
2016-07-01,280
2016-07-02,319
2016-07-03,283
2016-07-04,294
2016-07-05,284
2016-07-06,286
2016-07-07,300
2016-07-08,264
2016-07-09,290
2016-07-10,313
2016-07-11,277
2016-07-12,278
2016-07-13,233
2016-07-14,329
2016-07-15,287
2016-07-16,299
2016-07-17,287
2016-07-18,275
2016-07-19,289
2016-07-20,300
2016-07-21,272
2016-07-22,284
2016-07-23,310
2016-07-24,290
2016-07-25,243
2016-07-26,260
2016-07-27,305
2016-07-28,312
2016-07-29,277
2016-07-30,318
2016-07-31,273
2016-08-01,276
2016-08-02,291
2016-08-03,289
2016-08-04,285
2016-08-05,282
2016-08-06,300
2016-08-07,279
2016-08-08,288
2016-08-09,297
2016-08-10,302
2016-08-11,263
2016-08-12,285
2016-08-13,321
2016-08-14,309
2016-08-15,248
2016-08-16,336
2016-08-17,258
2016-08-18,308
2016-08-19,292
2016-08-20,258
2016-08-21,323
2016-08-22,251
2016-08-23,261
2016-08-24,334
2016-08-25,295
2016-08-26,242
2016-08-27,345
2016-08-28,276
2016-08-29,252
2016-08-30,282
2016-08-31,321
2016-09-01,291
2016-09-02,255
2016-09-03,302
2016-09-04,331
2016-09-05,255
2016-09-06,248
2016-09-07,326
2016-09-08,263
2016-09-09,315
2016-09-10,263
2016-09-11,335
2016-09-12,248
2016-09-13,299
2016-09-14,267
2016-09-15,281
2016-09-16,286
2016-09-17,318
2016-09-18,290
2016-09-19,282
2016-09-20,251
2016-09-21,310
2016-09-22,303
2016-09-23,286
2016-09-24,274
2016-09-25,291
2016-09-26,292
2016-09-27,283
2016-09-28,284
2016-09-29,302
2016-09-30,297
2016-10-01,275
2016-10-02,285
2016-10-03,278
2016-10-04,282
2016-10-05,289
2016-10-06,317
2016-10-07,252
2016-10-08,333
2016-10-09,257
2016-10-10,299
2016-10-11,277
2016-10-12,313
2016-10-13,257
2016-10-14,295
2016-10-15,283
2016-10-16,300
2016-10-17,290
2016-10-18,312
2016-10-19,287
2016-10-20,255
2016-10-21,321
2016-10-22,268
2016-10-23,277
2016-10-24,289
2016-10-25,296
2016-10-26,314
2016-10-27,261
2016-10-28,276
2016-10-29,293
2016-10-30,276
2016-10-31,286
2016-11-01,276
2016-11-02,288
2016-11-03,267
2016-11-04,296
2016-11-05,324
2016-11-06,270
2016-11-07,256
2016-11-08,313
2016-11-09,276
2016-11-10,281
2016-11-11,302
2016-11-12,324
2016-11-13,242
2016-11-14,315
2016-11-15,273
2016-11-16,279
2016-11-17,306
2016-11-18,294
2016-11-19,287
2016-11-20,318
2016-11-21,234
2016-11-22,284
2016-11-23,297
2016-11-24,296
2016-11-25,256
2016-11-26,295
2016-11-27,300
2016-11-28,271
2016-11-29,300
2016-11-30,306
2016-12-01,268
2016-12-02,283
2016-12-03,316
2016-12-04,267
2016-12-05,262
2016-12-06,312
2016-12-07,293
2016-12-08,277
2016-12-09,289
2016-12-10,291
2016-12-11,299
2016-12-12,286
2016-12-13,265
2016-12-14,295
2016-12-15,300
2016-12-16,302
2016-12-17,238
2016-12-18,286
2016-12-19,311
2016-12-20,300
2016-12-21,280
2016-12-22,272
2016-12-23,290
2016-12-24,291
2016-12-25,289
2016-12-26,263
2016-12-27,283
2016-12-28,304
2016-12-29,281
2016-12-30,304
2016-12-31,286
2017-01-01,287
2017-01-02,282
2017-01-03,285
2017-01-04,303
2017-01-05,286
2017-01-06,289
2017-01-07,268
2017-01-08,292
2017-01-09,272
2017-01-10,308
2017-01-11,305
2017-01-12,244
2017-01-13,288
2017-01-14,326
2017-01-15,296
2017-01-16,248
2017-01-17,306
2017-01-18,297
2017-01-19,272
2017-01-20,291
2017-01-21,294
2017-01-22,293
2017-01-23,250
2017-01-24,319
2017-01-25,280
2017-01-26,286
2017-01-27,300
2017-01-28,283
2017-01-29,316
2017-01-30,286
2017-01-31,293
2017-02-01,290
2017-02-02,294
2017-02-03,321
2017-02-04,327
2017-02-05,256
2017-02-06,235
