day,sum_total_reward,sum_reward
2016-02-08,1687206.23595119,1687206.23595119
2016-02-09,7839.51123176,1695045.74718295
2016-02-10,3515.76966104,1698561.51684399
2016-02-11,6376.42696288,1704937.94380687
2016-02-12,8101.55617544,1713039.49998231
2016-02-13,6245.40449104,1719284.90447335
2016-02-14,5197.22471632,1724482.12918967
2016-02-15,5459.26966000,1729941.39884967
2016-02-16,8625.64606280,1738567.04491247
2016-02-17,6158.05617648,1744725.10108895
2016-02-18,5896.01123280,1750621.11232175
2016-02-19,5939.68539008,1756560.79771183
2016-02-20,6507.44943472,1763068.24714655
2016-02-21,6944.19100669,1770012.43815324
2016-02-22,6719.58104645,1776732.01919969
2016-02-23,8210.74155722,1784942.76075691
2016-02-24,10269.66611243,1795212.42686934
2016-02-25,8466.54733590,1803678.97420524
2016-02-26,7767.76082029,1811446.73502553
2016-02-27,7886.30496152,1819333.03998705
2016-02-28,9520.96627457,1828854.00626162
2016-02-29,8366.19561536,1837220.20187698
2016-03-01,8790.42797051,1846010.62984749
2016-03-02,7771.15838856,1853781.78823605
2016-03-03,9618.19841893,1863399.98665498
2016-03-04,7839.10969409,1871239.09634907
2016-03-05,8963.39492995,1880202.49127902
2016-03-06,8574.21927136,1888776.71055038
2016-03-07,8598.92883696,1897375.63938734
2016-03-08,8673.05753386,1906048.69692120
2016-03-09,8086.20535025,1914134.90227145
2016-03-10,10062.97060003,1924197.87287148
2016-03-11,7684.67490890,1931882.54778038
2016-03-12,8401.25231198,1940283.80009236
2016-03-13,8067.67317602,1948351.47326838
2016-03-14,8920.15319002,1957271.62645840
2016-03-15,9692.32711585,1966963.95357425
2016-03-16,7332.56359881,1974296.51717306
2016-03-17,9179.60362922,1983476.12080228
2016-03-18,9747.92363850,1993224.04444078
2016-03-19,8178.86622142,2001402.91066220
2016-03-20,8617.46101129,2010020.37167349
2016-03-21,8034.85960621,2018055.23127970
2016-03-22,8825.71861091,2026880.94989061
2016-03-23,9192.69235779,2036073.64224840
2016-03-24,7688.09999601,2043761.74224441
2016-03-25,9021.43794277,2052783.18018718
2016-03-26,9033.67040095,2061816.85058813
2016-03-27,9217.15727441,2071034.00786254
2016-03-28,8152.93340871,2079186.94127125
2016-03-29,8220.21192870,2087407.15319995
2016-03-30,9425.10906411,2096832.26226406
2016-03-31,8214.09569961,2105046.35796367
2016-04-01,8954.15942244,2114000.51738611
2016-04-02,8856.29975664,2122856.81714275
2016-04-03,8593.30190475,2131450.11904750
2016-04-04,8140.70094955,2139590.81999705
2016-04-05,8379.23388584,2147970.05388289
2016-04-06,7847.12195285,2155817.17583574
2016-04-07,10232.45130719,2166049.62714293
2016-04-08,8238.56061629,2174288.18775922
2016-04-09,7816.54080730,2182104.72856652
