day,sum_fees,difficulty,count_tx
2016-02-08,84.46512,43703.04758129,1705
2016-02-09,426.94270000000006,146602.11941975,8580
2016-02-10,235.42523003,240031.21494404,4052
2016-02-11,369.59019,171029.90389951668,6668
2016-02-12,203.5009,142131.09729552,3854
2016-02-13,64.88114999999999,212038.26295336665,1304
2016-02-14,97.94890000000001,220040.91710411335,1687
2016-02-15,100.93960000000001,177069.39866459998,1848
2016-02-16,109.72655,162262.8864361875,1957
2016-02-17,75.7706,242824.97480692668,1451
2016-02-18,62.33965,276570.3527454567,1236
2016-02-19,50.295950000000005,250798.21944575664,970
2016-02-20,110.62190000000001,222239.80830872667,5184
2016-02-21,151.2717,247275.85383949336,2977
2016-02-22,184.43445001999999,254178.44552006,3334
2016-02-23,281.46610007,211113.02611171664,5544
2016-02-24,301.89140415,245635.32313308332,5959
2016-02-25,156.23195123000002,301145.32999812666,2806
2016-02-26,107.53430026999999,303633.46504249336,2095
2016-02-27,78.02550052,267377.96382552997,1471
2016-02-28,120.85219667000001,255304.60989403,2390
2016-02-29,112.10443075,263173.60774774,2639
2016-03-01,119.92925101,267424.7468738533,2670
2016-03-02,67.35760094,269107.00075368,1265
2016-03-03,144.8232021,265781.44644737337,3152
2016-03-04,47.45740105,268516.3849797167,1311
2016-03-05,136.87705247,257314.30680234334,2647
2016-03-06,104.28184725,256239.9539668133,2423
2016-03-07,90.68955185,265231.40322748333,2199
2016-03-08,99.99215165999999,270637.5007530467,2661
2016-03-09,55.064051899999995,256810.86589260667,1670
2016-03-10,97.99185188,260073.87025722,2845
2016-03-11,40.72271849,306803.14873626665,1121
2016-03-12,103.24930318,296437.4404095733,2843
2016-03-13,67.95180203,276021.3805522267,1673
2016-03-14,76.88260334,259704.19145108666,2124
2016-03-15,93.90068897,271813.0804882967,2959
2016-03-16,63.74623031,287338.8633587433,1784
2016-03-17,57.13187698,262189.2175649767,1976
2016-03-18,48.59325502,267549.15338773,2066
2016-03-19,114.13471883,315224.3127958667,2979
2016-03-20,38.51825782,334927.83673277,1733
2016-03-21,70.66059935,305399.1310985233,2136
2016-03-22,58.818979309999996,272497.8662240534,2107
2016-03-23,86.73066605,292755.3545567433,3058
2016-03-24,41.60321768,316177.72517124,1371
2016-03-25,102.75706699,291377.9551922333,2464
2016-03-26,86.81211739,288187.24399881664,2905
2016-03-27,144.5371644,318752.79441470664,1491
2016-03-28,109.06655457,338087.3413995367,2755
2016-03-29,54.82602775,330032.21313934,1803
2016-03-30,54.53398464,326988.59115707665,1886
2016-03-31,99.5632364,352425.24548644666,2831
2016-04-01,97.65251846,338889.7411721533,1653
2016-04-02,78.79003460999999,347643.0026477067,2503
2016-04-03,98.92028493999999,370770.50871277996,2864
2016-04-04,50.16976104,366362.73744947667,2095
2016-04-05,28.032716889999996,368052.9656637767,1472
2016-04-06,59.22208301,356969.91603589663,1936
2016-04-07,85.82810891000001,325158.9700675933,2797
2016-04-08,118.20694452,365177.00298473664,3013
2016-04-09,50.93497199,377121.35415214003,1660
2016-04-10,109.38845898,346378.34676783666,2999
2016-04-11,60.65559349,335912.69498289336,2391
2016-04-12,35.5358241,329796.06433247,1307
2016-04-13,157.13190663,343405.56145360664,4195
2016-04-14,22.638132400000003,348056.5141437767,1719
2016-04-15,27.06550052,379032.27544420003,1641
2016-04-16,128.27151061,396884.9307348767,4047
2016-04-17,16.78844775,380064.99699226,1123
2016-04-18,115.43111289000001,335783.2289020033,2994
2016-04-19,99.29847838,335141.02397050004,3142
2016-04-20,25.92024498,376281.0407203633,1276
2016-04-21,191.10955345000002,393275.20547637,8357
2016-04-22,22.58262307,378325.8689220133,1732
2016-04-23,182.99745882,409803.81848753337,8059
2016-04-24,28.01039965,462002.66884829005,1999
2016-04-25,26.022169039999998,486677.0338492966,1869
2016-04-26,73.78353255,478495.38105531334,5881
2016-04-27,14.97192644,512024.03886596666,1358
2016-04-28,33.32934908,532883.78318775,2306
2016-04-29,26.224933659999998,504746.2228857175,2634
2016-04-30,30.55647664,558890.8209240199,3214
2016-05-01,22.30053245,575632.98184723,1952
2016-05-02,39.49471381000001,598813.0653193532,3301
2016-05-03,67.86524907,610691.56890566,4784
2016-05-04,17.6399443,592948.4956033225,1652
2016-05-05,52.03911167999999,597217.1176536634,4198
2016-05-06,16.24319915,577870.3933425001,1332
2016-05-07,165.46122057,564412.7354127575,8327
2016-05-08,22.833351590000003,628056.3989815734,1809
2016-05-09,24.19996337,607013.2658896333,1963
2016-05-10,172.23879506,578186.145204965,6059
2016-05-11,12.605454340000001,519686.41256818996,1377
2016-05-12,46.10245944,522562.654304215,4228
2016-05-13,28.12231251,592994.987279605,1900
2016-05-14,126.68690457,583067.1297753251,5758
2016-05-15,17.87389095,662219.2010844167,2017
2016-05-16,39.92367403,645561.2632391633,3275
2016-05-17,195.63555902,624174.1958380167,6969
2016-05-18,19.20138579,674953.6184776634,1530
2016-05-19,47.078772470000004,686854.9341423167,4617
2016-05-20,16.59188974,689049.70742963,1472
2016-05-21,71.51798103,655498.6450749467,5729
2016-05-22,11.33125538,686688.5081379734,1552
2016-05-23,190.89491182,717483.9359690001,6635
2016-05-24,10.2735293,704918.5546196466,1486
2016-05-25,80.76984141999999,691030.8660539367,5757
2016-05-26,12.986563069999999,647543.15848975,1505
2016-05-27,28.49752874,664465.33682549,3244
2016-05-28,24.956782670000003,789862.5490884766,2660
2016-05-29,32.697211620000004,792739.70512664,2466
2016-05-30,168.06497811,696340.901560185,5769
2016-05-31,15.2109023,677287.066438755,1977
2016-06-01,172.49782241,820831.54202936,6273
2016-06-02,7.68422296,805934.812578015,1033
2016-06-03,45.80314139000001,741955.9018099525,3708
2016-06-04,29.50938064,880890.41206758,3962
