day,netfund_reward
2016-02-08,1029.46227780
2016-02-09,1119.93017494
2016-02-10,502.25280826
2016-02-11,910.91813672
2016-02-12,1157.36516686
2016-02-13,892.20064076
2016-02-14,742.46067308
2016-02-15,779.89566500
2016-02-16,1232.23515070
2016-02-17,879.72231012
2016-02-18,842.28731820
2016-02-19,848.52648352
2016-02-20,929.63563268
2016-02-21,965.82279149
2016-02-22,671.95810434
2016-02-23,821.07415540
2016-02-24,1026.96661107
2016-02-25,846.65473353
2016-02-26,776.77608196
2016-02-27,788.63049618
2016-02-28,952.09662741
2016-02-29,836.61029474
2016-03-01,879.04279622
2016-03-02,777.11583812
2016-03-03,961.81984098
2016-03-04,783.91096866
2016-03-05,896.33949214
2016-03-06,857.42192632
2016-03-07,859.89288288
2016-03-08,867.30575256
2016-03-09,808.62053426
2016-03-10,1006.29705906
2016-03-11,768.46749016
2016-03-12,840.12523040
2016-03-13,806.76731684
2016-03-14,892.01531816
2016-03-15,969.23271066
2016-03-16,733.25635918
2016-03-17,917.96036204
2016-03-18,974.79236292
2016-03-19,817.88662136
2016-03-20,861.74610030
2016-03-21,803.47678633
2016-03-22,882.57186172
2016-03-23,919.26923646
2016-03-24,768.81000024
2016-03-25,902.14379501
2016-03-26,903.36704081
2016-03-27,921.71572819
2016-03-28,815.29334157
2016-03-29,822.02119347
2016-03-30,942.51090711
2016-03-31,821.40957057
2016-04-01,895.41594294
2016-04-02,885.62997636
2016-04-03,859.33019115
2016-04-04,814.07009528
2016-04-05,837.92338927
2016-04-06,784.71219589
2016-04-07,1023.24513151
2016-04-08,823.85606233
2016-04-09,781.65408134
2016-04-10,872.78589526
2016-04-11,841.24189714
2016-04-12,910.16755867
2016-04-13,829.02154876
2016-04-14,941.65705505
2016-04-15,808.43226268
2016-04-16,849.61083487
2016-04-17,822.96587640
2016-04-18,794.50421615
2016-04-19,962.85190831
2016-04-20,836.89392284
2016-04-21,796.32091787
2016-04-22,924.70117234
2016-04-23,923.49003790
2016-04-24,856.27207447
2016-04-25,819.33247297
2016-04-26,894.42281046
2016-04-27,872.62238988
2016-04-28,802.98215755
2016-04-29,936.81251713
2016-04-30,838.10505732
2016-05-01,854.45537277
2016-05-02,813.43868501
2016-05-03,789.03612546
2016-05-04,899.35728582
2016-05-05,816.01684402
2016-05-06,772.84769430
2016-05-07,976.10244081
2016-05-08,827.40870291
2016-05-09,787.23741086
2016-05-10,728.47940124
2016-05-11,772.84769405
2016-05-12,962.91186713
2016-05-13,749.46440474
2016-05-14,913.14743088
2016-05-15,880.77056854
2016-05-16,772.24812279
2016-05-17,868.77913812
2016-05-18,864.58213739
2016-05-19,847.79413477
2016-05-20,778.24383792
2016-05-21,874.77485326
2016-05-22,854.38942134
2016-05-23,789.03612532
2016-05-24,838.56904367
2016-05-25,784.78569705
2016-05-26,829.90196999
2016-05-27,875.61187824
2016-05-28,805.56292758
2016-05-29,713.54947633
2016-05-30,791.90931909
2016-05-31,971.18714091
2016-06-01,761.63392536
2016-06-02,737.88851853
2016-06-03,986.02802024
2016-06-04,853.64737714
2016-06-05,684.46135313
2016-06-06,875.01824335
2016-06-07,873.23733780
2016-06-08,813.28018540
2016-06-09,753.32303294
2016-06-10,895.20183905
2016-06-11,833.46378120
2016-06-12,847.11739015
