day,sum_pos_reward
2016-02-08,1687206.23595119
2016-02-09,7839.51123176
2016-02-10,3515.76966104
2016-02-11,6376.42696288
2016-02-12,8101.55617544
2016-02-13,6245.40449104
2016-02-14,5197.22471632
2016-02-15,5459.26966000
2016-02-16,8625.64606280
2016-02-17,6158.05617648
2016-02-18,5896.01123280
2016-02-19,5939.68539008
2016-02-20,6507.44943472
2016-02-21,6944.19100669
2016-02-22,6719.58104645
2016-02-23,8210.74155722
2016-02-24,10269.66611243
2016-02-25,8466.54733590
2016-02-26,7767.76082029
2016-02-27,7886.30496152
2016-02-28,9520.96627457
2016-02-29,8366.19561536
2016-03-01,8790.42797051
2016-03-02,7771.15838856
2016-03-03,9618.19841893
2016-03-04,7839.10969409
2016-03-05,8963.39492995
2016-03-06,8574.21927136
2016-03-07,8598.92883696
2016-03-08,8673.05753386
2016-03-09,8086.20535025
2016-03-10,10062.97060003
2016-03-11,7684.67490890
2016-03-12,8401.25231198
2016-03-13,8067.67317602
2016-03-14,8920.15319002
2016-03-15,9692.32711585
2016-03-16,7332.56359881
2016-03-17,9179.60362922
2016-03-18,9747.92363850
2016-03-19,8178.86622142
2016-03-20,8617.46101129
2016-03-21,8034.85960621
2016-03-22,8825.71861091
2016-03-23,9192.69235779
2016-03-24,7688.09999601
2016-03-25,9021.43794277
2016-03-26,9033.67040095
2016-03-27,9217.15727441
2016-03-28,8152.93340871
2016-03-29,8220.21192870
2016-03-30,9425.10906411
2016-03-31,8214.09569961
2016-04-01,8954.15942244
2016-04-02,8856.29975664
2016-04-03,8593.30190475
2016-04-04,8140.70094955
2016-04-05,8379.23388584
2016-04-06,7847.12195285
2016-04-07,10232.45130719
2016-04-08,8238.56061629
2016-04-09,7816.54080730
2016-04-10,8727.85894535
2016-04-11,8412.50980337
2016-04-12,9101.67559302
2016-04-13,8290.21549351
2016-04-14,9416.57055700
2016-04-15,8084.32263249
2016-04-16,8496.10835462
2016-04-17,8229.65876973
2016-04-18,7945.04216749
2016-04-19,9628.51909023
2016-04-20,8368.93923446
2016-04-21,7963.20918466
2016-04-22,9247.01173011
2016-04-23,9234.90038545
2016-04-24,8562.72075079
2016-04-25,8193.32473542
2016-04-26,8944.22811097
2016-04-27,8726.22390511
2016-04-28,8029.82158107
2016-04-29,9368.12517788
2016-04-30,8381.05057924
2016-05-01,8544.55373368
2016-05-02,8134.47679149
2016-05-03,7890.36125296
2016-05-04,8993.57285664
2016-05-05,8160.16843863
2016-05-06,7728.47694151
2016-05-07,9761.02440694
2016-05-08,8274.08702802
2016-05-09,7872.37410719
2016-05-10,7284.79401333
2016-05-11,7728.47694101
2016-05-12,9629.11867140
2016-05-13,7494.64404698
2016-05-14,9131.47430713
2016-05-15,8807.70568419
2016-05-16,7722.48122630
2016-05-17,8687.79137955
2016-05-18,8645.82137276
2016-05-19,8477.94134620
2016-05-20,7782.43837846
2016-05-21,8747.74853173
2016-05-22,8543.89421343
2016-05-23,7890.36125268
2016-05-24,8385.77947950
2016-05-25,7847.85696798
2016-05-26,8299.01969817
2016-05-27,8756.11878033
2016-05-28,8055.62927724
2016-05-29,7135.49476193
2016-05-30,7919.09318853
2016-05-31,9711.87140656
2016-06-01,7616.33925108
2016-06-02,7378.88518255
2016-06-03,9860.28019950
2016-06-04,8536.47376727
2016-06-05,6844.61352823
2016-06-06,8750.18242908
2016-06-07,8732.37337387
2016-06-08,8132.80185051
2016-06-09,7533.23032704
2016-06-10,8952.01838718
2016-06-11,8334.63780877
2016-06-12,8471.17389823
2016-06-13,8174.35631262
2016-06-14,8351.00685605
2016-06-15,6729.82446718
2016-06-16,7570.31782853
2016-06-17,10285.75791932
2016-06-18,8381.42331017
2016-06-19,8040.52390488
2016-06-20,7834.80874652
2016-06-21,8463.70937352
2016-06-22,7964.11541749
2016-06-23,9033.83424113
2016-06-24,7299.94933467
2016-06-25,8146.32027183
2016-06-26,8122.80996748
2016-06-27,8087.54451244
2016-06-28,8058.15663264
2016-06-29,9104.36515256
2016-06-30,7282.31660682
2016-07-01,7899.46208184
2016-07-02,9169.01848803
2016-07-03,8175.70815187
2016-07-04,8504.85240530
2016-07-05,8181.44024488
2016-07-06,8211.14819651
2016-07-07,8554.49174262
2016-07-08,7460.44790056
2016-07-09,8077.30240696
2016-07-10,8845.46084936
2016-07-11,7780.51391803
2016-07-12,7879.44341452
2016-07-13,6535.16614067
2016-07-14,9153.88810233
2016-07-15,8030.74734994
2016-07-16,8379.91027820
2016-07-17,7995.83105700
2016-07-18,7768.87515389
2016-07-19,8251.88387146
2016-07-20,8531.21421404
2016-07-21,7576.83554316
2016-07-22,8048.20549647
2016-07-23,8810.54455664
2016-07-24,8257.70325353
2016-07-25,6878.50968680
2016-07-26,7437.17037218
2016-07-27,7716.62746522
2016-07-28,7570.95853050
2016-07-29,6764.31150295
2016-07-30,8631.12319648
2016-07-31,7726.52617290
2016-08-01,7870.57028506
2016-08-02,8170.18203809
2016-08-03,8072.23204182
2016-08-04,7951.23498765
2016-08-05,8008.85263264
2016-08-06,8498.60261375
2016-08-07,7887.85557844
2016-08-08,8147.13498022
2016-08-09,8302.70262118
2016-08-10,8527.41143614
2016-08-11,7375.05853931
2016-08-12,8089.51733541
2016-08-13,9028.68494620
2016-08-14,8608.07613879
2016-08-15,6925.64090954
2016-08-16,9460.81728250
2016-08-17,7234.00940572
2016-08-18,8557.07597040
2016-08-19,8180.56462792
2016-08-20,7227.87683651
2016-08-21,8979.22505166
2016-08-22,6942.64097063
2016-08-23,7216.46740163
2016-08-24,9264.46091728
2016-08-25,8237.61180104
2016-08-26,6691.63340883
2016-08-27,9663.79112944
2016-08-28,7764.12026407
2016-08-29,7068.14475171
2016-08-30,7878.21461025
2016-08-31,9024.86279046
2016-09-01,8163.45047597
2016-09-02,7108.07777284
2016-09-03,8437.27690705
2016-09-04,9133.25241907
2016-09-05,6879.88907968
2016-09-06,6765.79473368
2016-09-07,8820.42492590
2016-09-08,7201.49958377
2016-09-09,8816.89478488
2016-09-10,7286.22310845
2016-09-11,9172.73358749
2016-09-12,6800.47490108
2016-09-13,8291.60893271
2016-09-14,7410.48427777
2016-09-15,7845.39837036
2016-09-16,7975.30777463
2016-09-17,8850.78419460
2016-09-18,7975.30777445
2016-09-19,7766.32308063
2016-09-20,6969.92195030
2016-09-21,8528.83480127
2016-09-22,8302.90540249
2016-09-23,7924.47365982
2016-09-24,7630.76544155
2016-09-25,8093.92070889
2016-09-26,8156.05129360
2016-09-27,7890.58425011
2016-09-28,7822.80543031
2016-09-29,8164.74733258
2016-09-30,8131.22142103
2016-10-01,7532.84405371
2016-10-02,7812.45964596
2016-10-03,7655.87491433
2016-10-04,7767.72115124
2016-10-05,7969.04437761
2016-10-06,8584.19868028
2016-10-07,6884.13587982
2016-10-08,9132.24524109
2016-10-09,7079.86679441
2016-10-10,8259.84459349
2016-10-11,7639.09797880
2016-10-12,8628.93717517
2016-10-13,7068.68217071
2016-10-14,8147.99835663
2016-10-15,7722.98265638
2016-10-16,8181.55222758
2016-10-17,7913.12125907
2016-10-18,8075.29830227
2016-10-19,7432.18244028
2016-10-20,6939.14540073
2016-10-21,8748.36901697
2016-10-22,7308.76398886
2016-10-23,7552.38945519
2016-10-24,7912.29071226
2016-10-25,8061.78815744
2016-10-26,8554.57603247
2016-10-27,7109.43406191
