day,avg_price,avg_pool,avg_pool_dcr
2016-02-08,2.00000000,0,0.00000000
2016-02-09,2.00000000,871,1742.98464973
2016-02-10,2.00000000,5148,10296.26086957
2016-02-11,2.00000000,9662,19323.35163892
2016-02-12,2.00000000,14989,29978.37487733
2016-02-13,2.00000000,20474,40947.49848943
2016-02-14,2.00000000,20903,41805.51377634
2016-02-15,2.00000000,22271,44542.31050228
2016-02-16,2.00000000,23748,47496.23896104
2016-02-17,2.00000000,24534,49068.83290488
2016-02-18,2.00000000,25610,51219.54599407
2016-02-19,2.00000000,26257,52514.38852097
2016-02-20,2.00000000,26840,53679.94245222
2016-02-21,2.00000000,30390,60780.19071518
2016-02-22,2.00000000,32038,64075.27944404
2016-02-23,2.00000000,33489,66977.79983214
2016-02-24,2.08178997,36394,72787.42565311
2016-02-25,3.48958029,39948,79997.95217179
2016-02-26,5.93901117,41368,84539.56997972
2016-02-27,7.32326473,41642,89639.76302730
2016-02-28,4.56949410,41277,94392.63353659
2016-02-29,5.24387262,41108,97477.63911704
2016-03-01,6.71680321,41659,104771.32754081
2016-03-02,8.47482048,41428,106701.51287129
2016-03-03,5.46190577,41736,115963.58978723
2016-03-04,10.93755979,41989,121651.65652174
2016-03-05,6.39990425,41713,125361.38909476
2016-03-06,7.18789038,41865,133871.90875233
2016-03-07,9.55419457,41609,136123.45047490
2016-03-08,18.27323135,42253,147668.64921466
2016-03-09,26.33826392,42461,163206.26447219
2016-03-10,10.22866318,42037,195684.22178218
2016-03-11,11.05608193,41651,198241.13100437
2016-03-12,8.82309140,42142,210355.76005817
2016-03-13,8.96680461,42236,218628.28710938
2016-03-14,8.49900640,42004,218491.09395484
2016-03-15,9.37605434,42292,227275.10217918
2016-03-16,9.97736019,42404,236299.71614100
2016-03-17,10.86572483,42010,235517.10741049
2016-03-18,11.88056447,42051,244163.49422633
2016-03-19,9.70792591,41598,248111.76385858
2016-03-20,19.14023393,42186,259497.40618102
2016-03-21,12.73869785,42000,270398.13573001
2016-03-22,12.98171481,41725,275576.31363636
2016-03-23,11.92731040,41824,288111.31157136
2016-03-24,15.29772112,41655,292467.79038718
2016-03-25,10.07805080,41926,306055.36998147
2016-03-26,12.04870947,41564,305343.86100196
2016-03-27,28.09772621,42880,323646.42045455
2016-03-28,11.01661725,41980,331757.85985037
2016-03-29,14.29133466,41765,334788.78842505
2016-03-30,16.63412823,42272,347554.52348993
2016-03-31,11.10391725,41675,349173.52476704
2016-04-01,13.98569501,42316,364121.78079096
2016-04-02,11.74150088,41587,359508.97469066
2016-04-03,8.51196255,41905,370374.87536372
2016-04-04,15.36842281,41615,368286.48850575
2016-04-05,23.31028646,42564,379421.94364162
2016-04-06,12.85097723,41944,384491.89770024
2016-04-07,11.83641561,41627,388355.97638660
2016-04-08,7.77238330,41804,395629.67510354
2016-04-09,8.30831782,41483,392749.08856502
2016-04-10,11.29482108,42242,395022.17485822
2016-04-11,15.50727372,41917,393514.34903226
2016-04-12,21.05947228,42991,412673.53820598
2016-04-13,8.31994037,42019,408825.36570375
2016-04-14,26.09569525,42443,410767.57725948
2016-04-15,22.51960255,43062,423529.68630339
2016-04-16,14.67139754,42271,424412.65272244
2016-04-17,28.77339981,43505,452320.79581152
2016-04-18,12.94006864,42504,445760.03410853
2016-04-19,15.45620257,42140,444112.36392573
2016-04-20,18.32711586,43296,467658.30434783
2016-04-21,7.91406502,42352,459113.12978019
2016-04-22,23.74953418,42408,456264.20948617
2016-04-23,9.16913251,42874,462664.64603960
2016-04-24,21.92722923,42534,459737.71391753
2016-04-25,20.62343204,43594,473022.59108781
2016-04-26,14.41268684,42757,471079.04020421
2016-04-27,22.10523694,42727,474343.86320755
2016-04-28,16.43952139,43397,492168.37103594
2016-04-29,18.76706370,42760,487278.30812102
2016-04-30,19.42018829,42703,494383.34375000
2016-05-01,24.55191602,42856,509795.66793409
2016-05-02,19.60023125,42426,513376.39693593
2016-05-03,17.55548244,42225,523636.20575816
2016-05-04,36.98086976,42204,530781.63064833
2016-05-05,17.89661153,42580,553507.23312883
2016-05-06,31.12875819,42203,553022.98863636
2016-05-07,11.19131946,42042,562828.01680672
2016-05-08,29.37238826,41724,559136.20994475
2016-05-09,23.66814962,42887,577180.33477322
2016-05-10,12.59123491,42261,572263.41864587
