day,tx_count,sum_sent,sum_fees
2016-02-08,2037,2150962.87437115,84.46511999
2016-02-09,8939,1482425.54973677,426.94270000
2016-02-10,4214,317700.59360521,235.42523003
2016-02-11,6960,225285.20473320,369.59019000
2016-02-12,4225,314305.00411660,203.50090000
2016-02-13,1590,134811.79798227,64.88115000
2016-02-14,1925,174099.57925509,97.94890000
2016-02-15,2098,133571.98550323,100.93960000
2016-02-16,2352,86567.54880255,109.72655000
2016-02-17,1734,303538.21045581,75.77060000
2016-02-18,1506,192534.66546234,62.33965000
2016-02-19,1242,85105.49527759,50.29595000
2016-02-20,5482,141883.08899649,110.62190000
2016-02-21,3386,717819.41388529,135.47000000
2016-02-22,4646,1514187.46105577,13.21142000
2016-02-23,7146,1910139.06631933,18.62862001
2016-02-24,7941,1097605.85169071,16.02541023
2016-02-25,4424,586869.07016851,4.26325023
2016-02-26,3575,360235.52222501,4.16990005
2016-02-27,2951,332116.50216955,1.51706003
2016-02-28,4178,234248.90027543,5.18092009
2016-02-29,4214,150754.63101998,4.03860605
2016-03-01,4308,353297.96691300,2.69714009
2016-03-02,2706,223956.37555356,1.81017004
2016-03-03,4941,3811726.88112970,3.31320012
2016-03-04,2754,572809.01759485,0.64058009
2016-03-05,4281,328804.55643643,2.62622010
2016-03-06,3966,545633.67593255,3.33856013
2016-03-07,3735,1343379.77457650,2.97150017
2016-03-08,4227,1091076.52187488,1.50500012
2016-03-09,3119,590357.22350869,1.93807019
2016-03-10,4684,371261.43625236,4.97321022
2016-03-11,2509,1047836.29235421,0.92019146
2016-03-12,4317,307862.40147157,5.31368017
2016-03-13,3101,190910.63933893,2.50278019
2016-03-14,3709,819270.71368303,2.83109016
2016-03-15,4640,613950.23585579,2.08911212
2016-03-16,3055,185246.11498998,2.16118772
2016-03-17,3556,156217.14004565,0.86682489
2016-03-18,3764,305323.07129236,0.93840419
2016-03-19,4395,223959.13775330,2.73198170
2016-03-20,3158,91437.88553198,0.22085291
2016-03-21,3486,166336.30264697,1.63922213
2016-03-22,3627,352186.47275113,1.34067900
2016-03-23,4618,255532.09865939,2.13121941
2016-03-24,2676,189525.44652219,0.78466007
2016-03-25,3975,258894.61814748,2.14554332
2016-03-26,4403,226808.94580389,1.49544898
2016-03-27,3040,180018.59954479,0.40917217
2016-03-28,4124,180765.38736667,1.33056567
2016-03-29,3186,229525.66148093,1.41276582
2016-03-30,3451,121435.38654970,1.21263300
2016-03-31,4191,199919.97266592,2.39872595
2016-04-01,3127,90083.94161413,1.24812502
2016-04-02,3971,224708.57513441,1.82102412
2016-04-03,4258,366223.50310174,1.77277675
2016-04-04,3400,249337.84894219,2.57341696
2016-04-05,2807,91522.93647151,0.31272738
2016-04-06,3214,194315.36566125,1.73402734
2016-04-07,4422,384455.68911850,2.51201783
2016-04-08,4346,453134.64311027,2.57276211
2016-04-09,2899,307872.67527931,1.43803884
2016-04-10,4370,368089.49800022,1.88958250
2016-04-11,3772,743429.21964292,1.41347507
2016-04-12,2721,94382.72782334,0.30488865
2016-04-13,5517,669005.01443989,3.69092935
2016-04-14,3225,108357.74934854,0.12614609
2016-04-15,2928,113998.79970126,0.34284740
2016-04-16,5418,726922.13207305,2.22475958
2016-04-17,2439,50782.51993680,0.19767210
2016-04-18,4275,584083.06904773,3.85553387
2016-04-19,4693,544125.30293951,2.62684191
2016-04-20,2604,72148.98856075,0.55410856
2016-04-21,9632,946459.07200484,6.66949323
2016-04-22,3221,184991.85320330,0.72839161
2016-04-23,9494,519729.29409541,3.82569877
2016-04-24,3377,147410.62015477,0.34197582
2016-04-25,3171,408559.71614502,0.38390698
2016-04-26,7317,463246.56936276,0.76573739
2016-04-27,2755,73909.28608973,0.21136227
2016-04-28,3600,176219.75429040,0.15007173
2016-04-29,4142,190502.51529537,0.45809820
2016-04-30,4558,141831.92222261,0.69694855
2016-05-01,3346,159953.47615571,0.26222737
2016-05-02,4629,272649.44588117,3.77438906
2016-05-03,6091,671499.42582756,1.38498534
2016-05-04,3169,87267.08689334,0.26545455
2016-05-05,5590,442097.13855971,0.90899681
2016-05-06,2617,88389.13179331,0.24510100
2016-05-07,9983,1181039.31251990,4.75191622
2016-05-08,3214,149619.40253716,0.48684110
2016-05-09,3312,115128.13403271,0.26276352
2016-05-10,7304,826851.71439330,13.08577313
2016-05-11,2704,73494.83937559,0.84319860
2016-05-12,5849,156863.68071674,2.87624961
2016-05-13,3196,96035.72258591,1.76683208
2016-05-14,7337,939870.16579585,2.08718631
2016-05-15,3559,108742.67068788,0.43034001
2016-05-16,4619,3293192.26070184,0.86770282
2016-05-17,8488,660177.63759163,5.08742721
2016-05-18,3065,106436.33017845,0.25390496
2016-05-19,6114,233498.01483702,0.58438137
2016-05-20,2840,168994.48028567,0.36657216
2016-05-21,7262,264931.19116792,1.78962392
2016-05-22,3073,97886.63406880,0.59594887
2016-05-23,8021,1555784.33477970,5.82167728
2016-05-24,2979,84817.76360794,0.28234434
2016-05-25,7188,205992.50949041,2.04948636
2016-05-26,2981,1127282.87350409,0.56208690
2016-05-27,4804,495780.17192048,0.60326719
2016-05-28,4112,121489.63777350,1.13471450
2016-05-29,3720,210430.60459754,1.71808668
2016-05-30,7194,2504568.32577781,6.06513384
2016-05-31,3714,152115.39643961,0.55362972
2016-06-01,7666,1794631.62425434,5.56279252
2016-06-02,2368,73367.66647485,0.11458355
2016-06-03,5507,524558.15552381,0.68851507
2016-06-04,5503,556625.13377109,0.50648254
2016-06-05,3542,254955.27681983,0.17862945
2016-06-06,5091,1097640.77075207,0.25366529
2016-06-07,4293,282267.21826771,0.16655619
2016-06-08,5181,208095.72109055,0.68023732
2016-06-09,3908,948103.44842294,0.35477228
2016-06-10,8095,2231993.25463824,8.13284020
2016-06-11,2738,66476.80626817,0.12022680
2016-06-12,5266,266310.40267170,0.65650511
2016-06-13,5833,972378.19147555,1.76845076
2016-06-14,3255,118107.29768984,0.08355952
2016-06-15,7472,474187.60388134,4.07318367
2016-06-16,3484,524111.35047378,1.05531033
2016-06-17,5832,411613.42923294,0.32332692
2016-06-18,4559,400930.81730322,2.03277418
2016-06-19,4746,1406823.06496417,1.36024214
2016-06-20,3317,511274.81808581,0.11807769
2016-06-21,5704,353391.58467310,2.25123470
2016-06-22,7362,281004.47088756,4.05714623
2016-06-23,3120,81407.71496341,0.17735237
2016-06-24,4256,197485.39206019,1.24801757
2016-06-25,3538,376827.74611184,0.74202370
2016-06-26,6048,446878.05885546,14.94166952
2016-06-27,5160,317449.01699383,3.34429032
2016-06-28,3152,108921.95693049,0.17543709
2016-06-29,5524,238842.21288321,2.26526015
2016-06-30,6605,472939.65454490,1.46633996
2016-07-01,3007,100423.83188472,0.47889734
2016-07-02,7715,471833.70674126,0.85833198
2016-07-03,2990,156093.83999642,0.10793911
2016-07-04,5030,238839.79200979,1.07599367
2016-07-05,4601,609775.00456263,0.45965194
2016-07-06,4753,222590.95981153,0.33465400
2016-07-07,5310,246350.36520885,0.37871256
2016-07-08,3779,186090.26239610,0.62733133
2016-07-09,5372,254679.97233547,1.29550269
2016-07-10,7772,274483.33437490,2.04067400
2016-07-11,2940,99176.39545393,0.21718460
2016-07-12,6467,431821.83342250,1.40962213
2016-07-13,2493,84393.70376824,0.38637664
2016-07-14,5445,444341.90689552,1.51754489
2016-07-15,4714,574280.15065825,0.82435813
2016-07-16,5052,965715.79620095,1.04031485
2016-07-17,5610,450892.79659502,1.62348665
2016-07-18,3230,1435396.80426587,0.35893442
2016-07-19,7617,3094684.72604593,1.64440876
2016-07-20,3992,683972.19691172,0.33589514
2016-07-21,4621,1198493.75432828,1.08666770
2016-07-22,5503,578173.05798289,1.86131643
2016-07-23,3542,624808.25326133,0.13611202
2016-07-24,4562,184139.86763675,0.31018342
2016-07-25,4131,366415.46305358,0.51286521
2016-07-26,6392,663127.56657927,4.09178613
2016-07-27,4668,1740274.11257051,5.47442456
2016-07-28,7468,1159237.54517899,30.94315776
2016-07-29,3059,441141.91879713,2.34850027
2016-07-30,7150,468694.71635883,1.95356762
2016-07-31,2967,6469375.96379802,0.11019887
2016-08-01,6528,1414101.27703778,0.81239484
2016-08-02,3455,763925.84217328,0.36278995
2016-08-03,4728,996107.17923839,0.79610597
2016-08-04,2956,98278.15011137,0.29696505
2016-08-05,7998,309584.41557766,3.60857904
2016-08-06,2979,265888.17452648,0.08248212
2016-08-07,4463,181919.82151407,0.19859455
