day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2016-02-08,0,0,35666.26261050,510.61810494
2016-02-09,0,863,148829.14060416,2130.72097196
2016-02-10,0,5128,228174.59591255,3266.67475741
2016-02-11,0,9645,149393.50402238,2138.80071337
2016-02-12,0,16212,142203.52811012,2035.86500870
2016-02-13,0,20285,215942.48707084,3091.55306595
2016-02-14,0,20969,225406.91817324,3227.05113949
2016-02-15,0,22120,176440.88791748,2526.02614428
2016-02-16,0,23492,160498.81224977,2297.79049887
2016-02-17,0,24590,251283.06427908,3597.50847706
2016-02-18,0,25569,275746.53423856,3947.74115513
2016-02-19,0,26228,253105.09607694,3623.59370034
2016-02-20,0,26821,220949.51822520,3163.23651615
2016-02-21,0,29876,246628.29511291,3530.86820593
2016-02-22,5,32023,259035.40817939,3708.49535546
2016-02-23,5,33477,213318.34851117,3053.98443497
2016-02-24,5,36596,243747.16901484,3489.62039804
2016-02-25,5,40089,302787.20407443,4334.87046382
2016-02-26,5,41356,306046.97730855,4381.53919527
2016-02-27,5,41633,269200.25640296,3854.02099109
2016-02-28,5,41341,253340.25397890,3626.96035200
2016-02-29,5,41071,263915.49036190,3778.36133337
2016-03-01,5,41476,267529.83030250,3830.10623951
2016-03-02,5,41491,271623.74790526,3888.71704690
2016-03-03,5,41724,263438.23854039,3771.52873016
2016-03-04,5,41820,268855.75075721,3849.08885615
2016-03-05,5,41749,256794.91221293,3676.41916578
2016-03-06,5,41780,255788.69168174,3662.01355153
2016-03-07,5,41626,265021.36518343,3794.19365401
2016-03-08,5,42227,269827.06422103,3862.99472135
2016-03-09,5,42444,257551.22098233,3687.24690388
2016-03-10,5,42335,259474.03914941,3714.77504103
2016-03-11,5,41650,314383.38251401,4500.88782101
2016-03-12,5,42092,296778.00127820,4248.83936554
2016-03-13,5,42015,278768.67428084,3991.00779728
2016-03-14,5,41783,257883.88730683,3692.00954049
2016-03-15,5,42191,271195.05785042,3882.57968101
2016-03-16,5,42241,291369.20997651,4171.40409303
2016-03-17,5,41874,263109.53896283,3766.82288370
2016-03-18,5,42060,267715.32441166,3832.76187662
2016-03-19,5,41578,319946.51309161,4580.53270066
2016-03-20,5,42186,334002.24979440,4781.76246552
2016-03-21,5,42099,304302.84757017,4356.56926131
2016-03-22,5,41660,271754.14702461,3890.58391341
2016-03-23,5,41986,290157.51757920,4154.05682897
2016-03-24,5,41557,317603.28061368,4546.98567779
2016-03-25,5,42191,291273.03749310,4170.02723413
2016-03-26,5,41576,286064.64923918,4095.46104341
2016-03-27,5,42849,320821.95131561,4593.06596246
2016-03-28,5,42082,339814.07520814,4864.96779913
2016-03-29,5,41810,329979.78748574,4724.17465197
2016-03-30,5,42339,325224.81255295,4656.09977921
2016-03-31,5,41641,354748.80351352,5078.78169795
2016-04-01,5,42176,334459.96896457,4788.31542841
2016-04-02,5,41595,351498.99526009,5032.25563073
2016-04-03,5,41965,371325.32703282,5316.10045261
2016-04-04,5,41608,365863.80816847,5237.91030291
2016-04-05,5,42539,369742.21870287,5293.43579093
2016-04-06,5,41925,355786.21429667,5093.63384924
2016-04-07,5,41559,322119.14038981,4611.63724463
2016-04-08,5,41855,378233.12547108,5414.99634721
2016-04-09,5,41439,376681.46637364,5392.78193028
2016-04-10,5,42506,343445.38497012,4916.95565470
2016-04-11,5,41976,334022.58080098,4782.05353555
2016-04-12,5,43122,326507.26268530,4674.46005047
2016-04-13,5,42031,343074.52465532,4911.64621162
2016-04-14,5,42797,345863.75693395,4951.57841634
2016-04-15,5,43019,385839.44571316,5523.89266948
2016-04-16,5,42205,396398.40222132,5675.06057909
2016-04-17,5,43104,375566.78737999,5376.82356420
2016-04-18,5,42743,333477.04514321,4774.24334286
2016-04-19,5,42417,334974.91161402,4795.68763454
2016-04-20,5,43579,383429.19254563,5489.38614105
2016-04-21,5,42338,396086.43168325,5670.59423490
2016-04-22,5,43150,378409.63287538,5417.52332564
2016-04-23,5,43218,414862.24737715,5939.39928277
